,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Item_Identifier_Categories_FD,Item_Identifier_Categories_NC,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049
8521,7.21,1,0.145220646,103.1332,2,2,2,1845.5976,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
4712,19.0,0,0.111902259,105.4622,1,1,1,1905.5196,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4333,15.85,0,0.136497913,96.3094,1,0,1,2856.282,26,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
7696,19.2,0,0.100074524,110.2886,1,0,1,778.3202,26,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2959,12.857645184135976,0,0.039451625,39.548,2,2,3,1358.232,38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
7583,14.8,1,0.043885147,108.757,1,1,1,1867.569,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4153,6.215,1,0.083056555,224.4062,2,2,0,225.7062,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3791,21.0,0,0.049295686,194.4478,1,1,1,968.739,19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1666,9.195,1,0.04731256,50.7666,2,2,2,512.666,14,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
3276,20.85,1,0.094512029,104.5648,2,2,0,207.7296,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1045,17.5,1,0.007555176,145.9102,2,1,1,2187.153,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
6486,8.77,1,0.046762633,170.8422,1,1,1,1724.422,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
5587,14.6,0,0.150801606,48.7692,2,0,1,1231.73,24,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2376,17.35,0,0.0,101.9016,3,2,1,1821.6288,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
6764,17.5,0,0.015557426,184.7266,1,1,1,2213.1192,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
7947,19.85,0,0.175995526,224.0772,1,0,1,1556.6404,26,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
6145,6.825,0,0.100171568,262.7226,2,2,0,264.3226,25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5344,12.857645184135976,1,0.145200948,35.4558,1,0,0,135.8232,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
5096,10.65,0,0.024020078,57.2272,2,1,1,1174.4712,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
623,8.195,0,0.0,93.1462,2,2,2,647.8234,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
862,13.85,1,0.085274988,119.6124,1,0,1,2014.7108,26,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
706,17.25,1,0.079113947,99.2068,2,2,0,97.2068,25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
420,7.075,0,0.03777249,98.0068,2,2,0,291.6204,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6437,12.6,1,0.036773101,250.3092,2,2,0,249.0092,25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2171,13.65,1,0.080765853,262.8936,2,0,1,4958.8784,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1199,11.0,0,0.037971697,38.948,2,1,1,519.324,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1894,15.35,0,0.013834247,62.7168,2,0,1,958.752,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
193,16.35,0,0.020631654,50.1324,2,2,2,467.3916,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
4588,12.857645184135976,1,0.07278643,49.4376,1,0,0,191.7504,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1948,7.39,0,0.068055818,140.7812,2,2,2,1567.2932,14,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
5232,13.15,1,0.038011783,89.6856,2,0,1,703.0848,24,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
7554,12.857645184135976,0,0.079261744,81.825,1,0,0,83.225,38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
2696,19.6,0,0.041355366,88.7514,2,0,1,2656.542,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2118,8.575,1,0.071786706,193.3794,3,2,1,780.3176,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
5821,12.857645184135976,1,0.022829734,241.0538,2,2,3,4566.7222,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1209,11.8,1,0.07665661,32.3558,3,2,1,169.779,36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
5865,17.6,0,0.097367722,89.3856,2,0,1,878.856,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4660,19.0,0,0.111830282,105.4622,3,2,1,952.7598,36,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
5516,7.6,1,0.142292265,171.3448,3,2,1,3238.4512,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False
8248,9.8,1,0.045358609,36.1874,2,1,1,423.4488,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1246,17.35,0,0.056235142,102.0016,2,1,1,1619.2256,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3797,18.6,0,0.076855628,161.0236,1,0,1,483.3708,26,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
8024,17.35,0,0.020555958,79.4618,1,1,1,1772.3596,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
229,12.857645184135976,0,0.101561568,181.9292,2,2,3,3101.2964,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
5984,19.85,0,0.026115595,49.0376,2,1,1,143.8128,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
6322,7.72,1,0.088864488,119.3466,2,1,1,3064.0116,16,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4441,12.3,1,0.064618976,89.8804,1,0,1,1286.3256,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
6064,12.857645184135976,0,0.02528566,158.792,2,2,3,4474.176,38,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6649,13.85,0,0.034570357,117.4492,1,0,1,3243.7776,26,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3834,7.655,0,0.031938828,114.1492,1,1,1,1158.492,19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4227,18.6,0,0.01575657,153.1366,3,2,1,3173.8686,36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
381,12.857645184135976,0,0.160707489,38.019,2,2,3,1318.284,38,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4197,5.635,0,0.172856719,148.205,2,2,0,449.415,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2841,9.695,1,0.128805815,224.0404,2,2,2,5851.0504,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
7160,17.6,0,0.097135675,89.3856,3,2,1,1318.284,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6766,12.1,0,0.015497337,165.5526,2,2,2,3453.5046,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
6913,11.5,1,0.037782943,106.6254,2,1,1,325.5762,16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
6753,6.825,0,0.059835659,264.3226,1,1,1,4229.1616,19,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3969,17.75,0,0.05507343,145.1444,1,0,1,1886.8772,26,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
7581,12.857645184135976,0,0.069968018,83.9908,1,0,0,167.7816,38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1336,20.7,1,0.100583009,123.5388,2,2,2,1981.4208,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1780,10.5,0,0.048213766,159.6946,2,2,2,3629.2758,14,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3197,12.857645184135976,1,0.042949109,199.5742,2,2,3,3981.484,38,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3064,11.0,0,0.054939029,101.4358,1,0,1,1608.5728,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1235,18.25,0,0.012272797,160.2894,1,1,1,3235.788,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
136,12.857645184135976,0,0.059956876,165.4526,2,2,3,5262.4832,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
316,6.48,0,0.033968647,148.0076,2,1,1,886.8456,21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
853,12.857645184135976,1,0.049349121,108.6912,2,2,3,3057.3536,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
